StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TestPybindStrategy,2021-Nov-05 13:30:00.322193,AAPL,-100,151.860000,0.460166,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175832,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.322206,AAPL,-100,151.860000,0.460166,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175833,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.452254,AAPL,-100,147.660000,0.450758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175834,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.558185,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175835,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.559354,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175836,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.570926,AAPL,-99,151.880000,0.455609,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175836,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603515,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175837,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603587,AAPL,-99,151.880000,0.455609,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175837,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603587,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175838,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-2,151.880000,0.009204,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175838,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175839,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-97,151.880000,0.446405,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175838,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-98,151.880000,0.451007,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175839,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175840,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-1,151.880000,0.004602,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175839,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.603589,AAPL,-99,151.880000,0.455609,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175840,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.869385,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175841,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.871512,AAPL,-99,151.880000,0.455609,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175841,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.894256,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175842,,FILL
TestPybindStrategy,2021-Nov-05 13:30:00.894278,AAPL,-100,151.910000,0.460278,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175843,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.030503,AAPL,-1,151.880000,0.004602,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175844,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.030505,AAPL,-99,151.880000,0.455609,ADDED,0,,SIM-1001-101,dlariviere,IEX,365733645175844,,FILL
TestPybindStrategy,2021-Nov-05 13:30:01.289163,AAPL,-100,151.900000,0.460256,REMOVED,0,,SIM-1001-101,dlariviere,IEX,365733645175845,,FILL
