Name,Time,Cumulative PnL
TestPybindStrategy,2021-Nov-05 13:30:15.275122,-6053.253216
TestPybindStrategy,2021-Nov-05 13:31:15.505096,-9898.155672
TestPybindStrategy,2021-Nov-05 13:32:16.380840,-9419.801091
TestPybindStrategy,2021-Nov-05 13:33:16.555779,-10876.184112
TestPybindStrategy,2021-Nov-05 13:34:16.760753,-12608.544382
TestPybindStrategy,2021-Nov-05 13:35:16.949928,-10413.868794
TestPybindStrategy,2021-Nov-05 13:36:17.108972,-9735.883204
TestPybindStrategy,2021-Nov-05 13:37:17.412812,-11663.844290
TestPybindStrategy,2021-Nov-05 13:38:17.949308,-11990.464383
TestPybindStrategy,2021-Nov-05 13:39:19.252051,-14814.333583
TestPybindStrategy,2021-Nov-05 13:40:19.548355,-12410.711894
TestPybindStrategy,2021-Nov-05 13:41:19.948700,-12914.407490
TestPybindStrategy,2021-Nov-05 13:42:20.699435,-15386.286320
TestPybindStrategy,2021-Nov-05 13:43:20.799173,-21612.699753
TestPybindStrategy,2021-Nov-05 13:44:21.194373,-20039.986068
TestPybindStrategy,2021-Nov-05 13:45:21.734489,-17301.001230
TestPybindStrategy,2021-Nov-05 13:46:23.828178,-121817.780355
TestPybindStrategy,2021-Nov-05 13:47:24.034363,-18593.021229
TestPybindStrategy,2021-Nov-05 13:48:24.158990,-16180.100800
TestPybindStrategy,2021-Nov-05 13:49:24.367219,-139689.363026
TestPybindStrategy,2021-Nov-05 13:50:24.761820,-26660.989006
TestPybindStrategy,2021-Nov-05 13:51:25.387695,-26378.408278
TestPybindStrategy,2021-Nov-05 13:52:25.967937,-23883.703309
TestPybindStrategy,2021-Nov-05 13:53:26.802658,-26842.333517
TestPybindStrategy,2021-Nov-05 13:54:27.430512,-29841.824654
TestPybindStrategy,2021-Nov-05 13:55:28.449946,-35033.679554
TestPybindStrategy,2021-Nov-05 13:56:29.139512,-36227.510304
TestPybindStrategy,2021-Nov-05 13:57:30.187075,-34802.600917
TestPybindStrategy,2021-Nov-05 13:58:30.992692,-34275.915233
TestPybindStrategy,2021-Nov-05 13:59:31.066138,-199322.401604
TestPybindStrategy,2021-Nov-05 14:00:31.910899,-24180.066161
TestPybindStrategy,2021-Nov-05 14:01:32.312270,-29499.943175
TestPybindStrategy,2021-Nov-05 14:02:33.000890,-21027.513301
TestPybindStrategy,2021-Nov-05 14:03:33.780948,-21103.840512
TestPybindStrategy,2021-Nov-05 14:04:34.476076,-29700.661103
TestPybindStrategy,2021-Nov-05 14:05:35.388172,-34740.904625
TestPybindStrategy,2021-Nov-05 14:06:36.350774,-56457.370853
TestPybindStrategy,2021-Nov-05 14:07:37.121986,-29009.058024
TestPybindStrategy,2021-Nov-05 14:08:38.011224,-39878.510945
TestPybindStrategy,2021-Nov-05 14:09:39.766275,-39378.245494
TestPybindStrategy,2021-Nov-05 14:10:40.323635,-37214.433547
TestPybindStrategy,2021-Nov-05 14:11:41.147055,-44648.080337
TestPybindStrategy,2021-Nov-05 14:12:41.738199,-45022.816328
TestPybindStrategy,2021-Nov-05 14:13:42.722918,-33720.833427
TestPybindStrategy,2021-Nov-05 14:14:44.191938,-40024.931260
TestPybindStrategy,2021-Nov-05 14:15:45.325634,-31557.530204
TestPybindStrategy,2021-Nov-05 14:16:45.801948,-36056.189676
TestPybindStrategy,2021-Nov-05 14:17:48.739374,-37002.489104
TestPybindStrategy,2021-Nov-05 14:18:50.061480,-39432.904307
TestPybindStrategy,2021-Nov-05 14:19:51.603975,-46254.599869
TestPybindStrategy,2021-Nov-05 14:20:53.771335,-47567.260426
TestPybindStrategy,2021-Nov-05 14:21:56.285530,-48503.269316
TestPybindStrategy,2021-Nov-05 14:22:58.473332,-43668.577568
TestPybindStrategy,2021-Nov-05 14:24:00.669395,-46324.876637
TestPybindStrategy,2021-Nov-05 14:25:01.626592,-48292.534330
TestPybindStrategy,2021-Nov-05 14:26:02.545110,-47857.757007
TestPybindStrategy,2021-Nov-05 14:27:02.787075,-48246.463105
TestPybindStrategy,2021-Nov-05 14:28:02.973615,-66308.602040
TestPybindStrategy,2021-Nov-05 14:29:03.270156,-67038.569273
TestPybindStrategy,2021-Nov-05 14:30:04.203738,-67643.131888
TestPybindStrategy,2021-Nov-05 14:31:05.273470,-54629.417729
TestPybindStrategy,2021-Nov-05 14:32:06.484538,-68294.982800
TestPybindStrategy,2021-Nov-05 14:33:08.212300,-69142.483104
TestPybindStrategy,2021-Nov-05 14:34:08.833662,-69622.419078
TestPybindStrategy,2021-Nov-05 14:35:09.478166,-69433.242465
TestPybindStrategy,2021-Nov-05 14:36:10.093939,-66695.562407
TestPybindStrategy,2021-Nov-05 14:37:11.112722,-65085.515022
TestPybindStrategy,2021-Nov-05 14:38:12.521434,-64396.482222
